cmtid,ctime,author_username,comment,rating_star
"4570320677","1618733020","jualtemenshop","Kemasan:bagus banget untuk harga segini. Ketahanan:belum ngetes. Wangi:gua suka banget nih baunya tuh candy candy gitu menurut gua. . suka mulai dari baunya sampai ke packingannya, cuma ada rembes di kotaknya dan penutup parfumnya kurang rapat jadi keluar keluar parfumnya tapi gapapa lah ya, untuk kedepannya untuk tim onix lebih diperhatikan lagi ya untuk penutup di parfumnya biar ga rembes lagi","5"
"3091380236","1601358638","doniardh","wanginya enak bet tahan lama, nanti mau nyoba varian lain. pengiriman cepat. saran tambahin ekspedisi pengirimannya aja jangan cuma sicepat ","5"
"5873606673","1630688571","z*****y","Kemasan:ok banget untuk harga segini. Ketahanan:5-6 jam di baju. Wangi:unik, lumayan enak. . banyak yang blg mirip baccarat tapi saya gak ngerasa gitu. ada bau coconut padahal di notesnya gak ada sampe mikir kalo ini ketuker sama mexicola, baunya unik dan saya sih suka suka aja buat daily wear, sayang kurang tahan lama di baju dibandingkan parfum merk lain yang harganya setara","5"
"9020765659","1658246777","s*****o","Asli baunya enak manis2 gitu dan seger","5"
"3440413415","1605931997","latifahnr29","Pertama kali beli parfum di onix, nyoba yang senoparty gataunya wanginya baccarat bangett sesuka itu. Packagingnya juga aman banget. Fix pasti order disini lagi","5"
"7477608548","1644740471","g*****2","Wangi:wangi enak strong dan kalem lama2. Ketahanan:belum di uji. Kemasan:mevvah. . Gak nyesel beli senoparty wkwkwkwk setelah sekian bulan menanti akhirnya kedapatan juga haha","5"
"4293242077","1615708569","garyprazz","mendarat dengan selamat, . baunya cocok bgt gan, sangat sesuai. untuk ketahanan blm nyobak. ","5"
"6479489481","1635947821","muthiaqanita15","Wangi:Wanginya segerr. . Gerceeepp banget dahhh, baru kemarin pesen dah nyampe aja, top min!🔥🔥","5"
"2714758830","1595239627","febriyantinr_","Respond penjualnya sangat ramah, beli ini karna racun tiktok😆. Yang suka wangi manis pasti suka varian ini","5"
"6207464743","1633607692","rrifkkii","wangi nya enakk bgt mirip baccarat manteppp, pengiriman nya juga cepet bgt cmn sehari","5"
"3540454994","1607166902","indrikaka","Guud packingnya tebel bubblewrappppnya.....syukkaaa syukàaaaaaa...wangiiinyA UWWUUU beudh daaah...thx seller...thx babang kurir jg...🙏🙏🙏","5"
"5906330926","1631018698","n*****i","Kemasan:baik. Ketahanan:baik. Wangi:ternyata wangi senoparty kurang cocok buat aku hiks. . minnnn gak mau re-stock mexicola apaaa :( maaf senoparty kamu terlalu baik buat aku, aku belum bisa move on dari mexicola yang bagaikan belahan jiwaku :(( jangan pisahkan mexicola dariku min tuh liat udah tinggal dikit :(( ayolaaa restock","5"
